"Name","Article_Number","Origin","Alcohol","Price","Volume","Manufacturer","Type","Region","Vintage","Is_New"
"Plantation Single Vintage Fiji","4032901","","44,8 %","549,00 kr","700 ml","Cognac Pierre Ferrand","","","","No"
"Boschendal Brut Rosé NV","7032001","Sydafrika","12,5 %","149,00 kr","750 ml","Boschendal","Mousserande","Coastal Region","Non Vintage","No"
"Plantation Single Vintage 2005 Guyana","4029201","Guyana","45 %","447,00 kr","700 ml","Cognac Pierre Ferrand","Sprit","","","No"
"Plantation Single Vintage Peru","1163701","Peru","43,5 %","","700 ml","Cognac Pierre Ferrand","Sprit","","","No"
"Carodorum Seleccìon Especial Reserva","7147101","Spanien","15 %","","750 ml","Bodega  Carodorum","Rött","Kastilien-León","2012","No"
"Carodorum Issos","274401","Spanien","14,5 %","","750 ml","Bodega  Carodorum","Rött","","2016","No"
"Plantation OFTD","4029501","Barbados","69 %","699,00 kr","700 ml","Cognac Pierre Ferrand","Sprit","","","No"
"Uncle Zin Appassimento","7130801","Italien","14,5 %","89,00 kr","750 ml","MGM Mondo del Vino srl","Rött","Apulien","2017","No"
"Dark Horse Zinfandel","464501","USA","14,5 %","99,00 kr","750 ml","Dark Horse","Rött","Kalifornien","2016","No"
"Staffans vinglögg","8221501","Sverige","10 %","85,00 kr","750 ml","Spring Wine & Spirits","Glögg & Glühwein","","Non Vintage","No"
"Orin Swift Palermo","7294201","USA","15,5 %","539,00 kr","750 ml","Orin Swift Cellars","Rött","Napa Valley","2015","No"
"Notre Dame de Cousignac Côtes du Rhône Villages EKO","7308901","Frankrike","15 %","130,00 kr","750 ml","Domaine Notre Dame de Cousignac","Rött","Rhône","2017","No"
"Torre Del Falasco Amarone Della Valpolicella DOCG","7445401","Italien","15,5 %","","750 ml","Cantina Valpantena","Rött","Veneto","2013","No"
"Spring Village Grenache-Syrah Rosé","7077006","Frankrike","12,5 %","119,00 kr","1.5 l","Spring Village","Rosé","IGP Pays d´oc","2017","No"
"Plantation Single Vintage Jamaica","8624801","Jamaica","45,2 %","419,00 kr","700 ml","Plantation Rum","Sprit","","","No"
"Gotlands Bittar","8681201","","38,5 %","","700 ml","Gotlands Bryggeri","","","","No"
"Plantation XO 20th Anniversary","50901","Barbados","40 %","514,00 kr","700 ml","Plantation Rum","Sprit","","","No"
"Plantation Grande Reserve","1031001","","40 %","289,00 kr","700 ml","Plantation Rum","","","","No"
"Plantation Single Vintage Trinidad","8733301","","42 %","429,00 kr","700 ml","Plantation Rum","","","","No"
"Daron Fine","8618702","","40 %","245,00 kr","500 ml","Daron calvados","","","","No"
"Daron XO","8618201","","40 %","478,00 kr","700 ml","Daron calvados","","","","No"
"Claude Chatelier VS","8657301","","40 %","","700 ml","Cognac Pierre Ferrand","","","","No"
"Plantation 3 Stars White Rum","8677501","","41,2 %","269,00 kr","700 ml","Plantation Rum","Sprit","","","No"
"Pierre Ferrand Selection des Anges","8737401","","40 %","869,00 kr","700 ml","Cognac Pierre Ferrand","","","","No"
"Wisby Julaquavit","8624102","","42 %","234,00 kr","500 ml","Gotlands Bryggeri","","","","No"
"Pierre Ferrand Ambre","8735201","","40 %","444,00 kr","700 ml","Cognac Pierre Ferrand","","","","No"
"Citadelle Gin","8644301","","44 %","396,00 kr","700 ml","Citadelle Gin","","","","No"
"Plantation Single Vintage Panama","8679101","","42 %","419,00 kr","700 ml","Plantation Rum","","","","No"
"Pierre Ferrand Dry Curacao","8665901","","40 %","383,00 kr","700 ml","Cognac Pierre Ferrand","","","","No"
"Pierre Ferrand Cognac 1840","8602801","","45 %","490,00 kr","700 ml","Cognac Pierre Ferrand","","","","No"
"Harveys Bristol Cream","822802","","17,5 %","84,00 kr","380 ml","Whyte and Mackay","","Jerez","","No"
