"Name","Article_Number","Origin","Alcohol","Price","Volume","Manufacturer","Type","Region","Vintage","Is_New"
"Anna de Codorníu Organic Brut","736901","Spanien","11,5 %","109,00 kr","750 ml","Codorníu","Mousserande","Katalonien","Non Vintage","No"
"Mas Mellot EKO","272801","Frankrike","12 %","89,00 kr","750 ml","GAEC Bruel","Rosé","Languedoc","2017","No"
"Tamnavulin Speyside Malt Whiskey","8190001","Skottland","40 %","349,00 kr","700 ml","Whyte and Mackay","Avec","","","No"
"L Chablis","7992501","Frankrike","12,5 %","159,00 kr","750 ml","Domaine Laroche","Vitt","Bourgogne","2017","No"
"Ocio Pinot Noir","9559001","Chile","14 %","390,00 kr","750 ml","Cono Sur","Rött","Casablanca Valley","2015","No"
"El Coto Crianza","1267001","Spanien","13,5 %","89,00 kr","750 ml","El Coto de Rioja","Rött","Rioja","2015","No"
"El Coto Crianza","1267002","Spanien","13,5 %","49,00 kr","380 ml","El Coto de Rioja","Rött","Rioja","2015","No"
"Museum Real Reserva","8276201","Spanien","14,5 %","184,00 kr","750 ml","","Rött","Kastilien-León","2014","No"
"Geol","7416101","Spanien","14,5 %","192,00 kr","750 ml","Tomàs Cusiné","Rött","Katalonien","2015","No"
"Lucente Toscana IGT","8536301","Italien","14,5 %","246,00 kr","750 ml","Luce della Vite","Rött","Toscana","2015","No"
"Spring Village Grenache-Syrah Rosé","7945101","Frankrike","12,5 %","73,00 kr","750 ml","Spring Village","Rosé","IGP Pays d´oc","2017","No"
"Spring Village Grenache-Syrah Rosé","463704","Frankrike","12,5 %","25,00 kr","190 ml","Spring Village","Rosé","IGP Pays d´oc","2017","No"
"Spring Village Merlot","671101","USA","12,5 %","74,00 kr","750 ml","Spring Village","Rött","Kalifornien","2017","No"
"Spring Village Merlot","671104","USA","12,5 %","29,00 kr","190 ml","Spring Village","Rött","Kalifornien","2017","No"
"Louis M Martini Sonoma County Cabernet Sauvignon","653301","USA","13,5 %","149,00 kr","750 ml","Louis M Martini","Rött","Kalifornien","2015","No"
"Lirac les Chenaies","221401","Frankrike","14,5 %","119,00 kr","750 ml","Ogier","Rött","Rhône","2017","No"
"Tahbilk The Tower Shiraz","215901","Australien","13,5 %","95,00 kr","750 ml","Tahbilk","Rött","Central Victoria","2012","No"
"Vilosell","7416001","Spanien","14,5 %","132,00 kr","750 ml","Tomàs Cusiné","Rött","Katalonien","2015","No"
"Ajan Barbera d´Asti DOC","232001","Italien","13 %","133,00 kr","750 ml","Villa Giada","Rött","Piemonte","2015","No"
"Spring Village Chardonnay","680301","USA","12,5 %","74,00 kr","750 ml","Spring Village","Vitt","Kalifornien","2017","No"
"Spring Village Chardonnay","680304","USA","13 %","23,00 kr","190 ml","Spring Village","Vitt","Kalifornien","2017","No"
"Auzells EKO","7953001","Spanien","12,5 %","116,00 kr","750 ml","Tomàs Cusiné","Vitt","Katalonien","2017","No"
"Essence Riesling","7033001","Tyskland","10 %","109,00 kr","750 ml","S.A Prüm","Vitt","Mosel","2017","No"
"Altamimbre","7598801","Spanien","14 %","269,00 kr","750 ml","","Rött","Kastilien-León","2014","No"
"Mormoreto Toscana IGT","7251701","Italien","14 %","499,00 kr","750 ml","Castello di Nipozzano","Rött","Toscana","2014","No"
"Bernkasteler Lay Riesling GG Dry","7853201","Tyskland","12,5 %","248,00 kr","750 ml","S.A Prüm","Vitt","Mosel","2015","No"
"Tocornal Cabernet Sauvignon","","Chile","12 %","73,00 kr","750 ml","Cono Sur","Rött","Valle Central","2018","No"
"El Coto Blanco","278001","Spanien","12,5 %","75,00 kr","750 ml","El Coto de Rioja","Vitt","Rioja","2017","No"
"El Coto Blanco","278002","Spanien","12,5 %","44,00 kr","380 ml","El Coto de Rioja","Vitt","Rioja","2017","No"
"Domaine Louis Moreau Chablis 1er Cru Les Fourneaux","7584501","Frankrike","12,5 %","222,00 kr","750 ml","Domaine Louis Moreau","Vitt","Bourgogne","2015","No"
"Gigondas Dentellis","7929401","Frankrike","14,5 %","215,00 kr","750 ml","Ogier","Rött","Rhône","2015","No"
"Aveleda Alvarinho","7357601","Portugal","12 %","95,00 kr","750 ml","Quinta da Alveleda","Vitt","Minho","2017","No"
"Coto Vintage Rosado","7983501","Spanien","13,5 %","89,00 kr","750 ml","El Coto de Rioja","Rosé","Rioja","2017","No"
"Cono Sur Cabernet Sauvignon Carmenère Syrah EKO","658601","Chile","14 %","89,00 kr","750 ml","Cono Sur","Rött","Colchagua Valley , Limari Valley","2017","No"
"Cono Sur Bícicleta Pinot Noir","7053801","Chile","14 %","95,00 kr","750 ml","Cono Sur","Rött","Valle Central","2017","No"
"Cono Sur Sauvignon Blanc EKO","7182001","Chile","12,5 %","95,00 kr","750 ml","Cono Sur","Vitt","Aconcagua","2018","No"
"Domaine Louis Moreau Chablis","8965401","Frankrike","12,5 %","175,00 kr","750 ml","Domaine Louis Moreau","Vitt","Bourgogne","2017","No"
"Domaine Louis Moreau Chablis Grand Cru Vaudésir","8965201","Frankrike","13 %","479,00 kr","750 ml","Domaine Louis Moreau","Vitt","Bourgogne","2013","No"
"Domaine Louis Moreau Chablis 1er Cru Vaulignot","8615001","Frankrike","12,5 %","222,00 kr","750 ml","Domaine Louis Moreau","Vitt","Bourgogne","2016","No"
"Savigny-Lès-Beaune Le Village","7429001","Frankrike","13 %","275,00 kr","750 ml","Henri de Villamont","Rött","Bourgogne","2015","No"
"Kuentz Bas Riesling MosaïK","8538801","Frankrike","13,5 %","167,00 kr","750 ml","Domaine Kuentz-Bas","Vitt","Alsace","2015","No"
"La Saulzaie Muscadet Sèvre-et-Maine-Sur-Lie","7285801","Frankrike","12 %","100,00 kr","750 ml","Pierre Chainier","Vitt","Loire","2017","No"
"Torre Del Falasco Valpolicella Ripasso DOC","235901","Italien","13,5 %","109,00 kr","750 ml","Cantina Valpantena","Rött","Veneto","2016","No"
